Obs.	statenum	casenum	accdate	acctime	speeding	alcres	drugres1	

1	6	1397	09022015	1617	1	996	0	
2	6	1734	08012015	0852	0	996	0	
3	27	263	09212015	1225	0	996	0	
4	30	113	08102015	0021	1	262	605	
5	37	47	01022015	1905	0	0	0	
6	45	479	06272015	0736	1	0	167	
7	47	726	10302015	2005	0	996	0	
8	53	106	04192015	1321	1	0	177	
9	6	39	01062015	2013	0	0	1	
10	45	685	10202015	1133	0	23	1	
11	26	816	12062015	0337	0	996	0	
12	37	663	07112015	0216	0	.	.	
13	38	103	11182015	0300	1	265	997	
14	15	85	08072015	1745	0	996	0	
15	6	401	03082015	0930	0	0	0	
16	6	1806	11092015	1430	0	0	0	
17	13	1261	12202015	0425	0	244	1	
18	47	73	01182015	1335	1	0	1	
19	39	291	04222015	1523	0	996	0	
20	48	300	02082015	1846	0	996	0	
21	5	349	09212015	0716	0	0	1	
22	17	756	10112015	1911	0	996	0	
23	45	755	11022015	1655	0	0	1	
24	6	2091	11012015	0408	0	999	999	
25	13	1325	12302015	0800	1	0	1	
26	26	862	12262015	0440	0	996	0	
27	49	97	04122015	2139	1	290	605	
28	21	79	02152015	0323	0	0	300	
29	30	47	05242015	1850	0	33	0	
30	36	780	09272015	2318	1	995	95	
31	54	163	08222015	0019	0	996	0	
32	6	456	02262015	1851	0	.	.	
33	23	34	05292015	1723	0	0	1	
34	36	66	02142015	0244	1	996	0	
35	13	186	02282015	0203	0	996	0	
36	18	448	07302015	1758	1	996	0	
37	21	369	08032015	0537	0	996	0	
38	24	267	08102015	2247	0	996	0	
39	28	471	10252015	0335	1	0	1	
40	21	287	06262015	1710	0	996	.	
41	41	63	03172015	2048	0	0	321	
42	42	984	10042015	1432	0	996	997	
43	48	1758	07312015	2336	0	996	0	
44	4	18	01162015	1657	1	0	996	
45	6	1627	10032015	0925	1	.	.	
46	36	501	07292015	0148	0	995	95	
47	37	197	03242015	2149	1	150	0	
48	53	458	11162015	1903	0	0	321	
49	22	485	09242015	0706	1	0	998	
50	29	764	12132015	1746	1	996	0	
51	8	244	07102015	1500	0	0	1	
52	22	354	07262015	9999	0	995	95	
53	29	676	11072015	0959	0	0	155	
54	55	292	08172015	2339	0	0	1	
55	29	621	10212015	2313	0	0	0	
56	38	19	03222015	0339	1	0	1	
57	26	14	01032015	1757	0	0	0	
58	36	336	06142015	0450	1	170	95	
59	21	28	01162015	1231	0	0	1	
60	39	482	07192015	2017	0	0	1	
61	48	2178	09222015	2050	0	996	0	
62	6	311	02212015	1015	1	996	0	
63	12	223	02172015	1449	0	0	1	
